Template,Function,Genome,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,shotgunReadcount,RelavantPercentInVF,PercentageInShotgun,SampleID
VFG001356,"endo-beta-N-acetylglucosaminidase",Streptococcus pneumoniae TIGR4,7159,116,1977,82.7,88.72,93.22,112.71,4.43,6817.33,1e-26,20326775,0.0478563697969653,5.31360426829977e-06,1203L
VFG001363,"pneumolysin",Streptococcus pneumoniae TIGR4,2680,84,1416,81.5,84.6,96.33,118.2,2.11,2435.66,1e-26,20326775,0.0155676799529743,1.7285157858107e-06,1203L
VFG043511,"cell wall anchored protein SgrA",Enterococcus faecium DO,2126,58,975,73.74,73.74,100,135.61,2.18,1956.48,1e-26,20326775,0.00965321692090433,1.07181917164543e-06,1203L
VFG034901,"Type III secretion system effector EspY2",Escherichia coli O157:H7 str. EDL933,554,34,570,84.21,88.77,94.86,112.65,1.15,458.64,1e-26,20326775,0.00358382453898285,3.97920390701768e-07,1203L
VFG000362,"yersiniabactin biosynthetic protein Irp1",Yersinia pestis CO92,1272422,31392,9492,99.75,100.06,99.68,99.94,135.44,1181268.33,1e-26,23537337,0.0885566537291675,0.000735678352708823,1203M
VFG000363,"yersiniabactin biosynthetic protein Irp2",Yersinia pestis CO92,838950,20846,6108,99.44,99.98,99.46,100.02,140.08,778432.57,1e-26,23537337,0.058890374791186,0.000489227766546867,1203M
VFG045349,"adhesin FdeC",Escherichia coli O45:K1:H7 str. S88,591083,14765,4251,96.89,99.15,97.72,100.85,144.42,548226.07,1e-26,23537337,0.0419051296412797,0.000348124002503862,1203M
VFG000930,"enterobactin synthase multienzyme complex component, ATP-dependent",Escherichia coli CFT073,540359,13531,3882,98.2,100,98.2,100,147.77,501085.98,1e-26,23537337,0.0394909725016891,0.000328068556946198,1203M
VFG002415,"E. coli common pilus usher EcpC",Escherichia coli O157:H7 str. EDL933,395869,8893,2526,97.62,100,97.62,100,173.88,369970.46,1e-26,23537337,0.0302370210410739,0.000251191987203471,1203M
VFG000876,"Outer membrane usher protein fimD precursor",Escherichia coli CFT073,386758,9290,2637,98.52,100,98.52,100,154.17,359758.37,1e-26,23537337,0.0279876237325068,0.000232505272689447,1203M
VFG001827,"enterotoxin",Shigella flexneri 2a str. 301,354795,4023,1140,99.65,100,99.65,100,315.26,342903.63,1e-26,23537337,0.0247417119807378,0.000205540082497384,1203M
VFG000923,"ferrienterobactin outer membrane transporter",Escherichia coli CFT073,314234,7935,2241,98.93,100,98.93,100,145.63,291210.28,1e-26,23537337,0.0224671885717459,0.000186644634620115,1203M
VFG000917,"Outer membrane heme/hemoglobin receptor ChuA",Escherichia coli CFT073,309031,6896,1947,99.54,100,99.54,100,161.53,288944.62,1e-26,23537337,0.021650860858584,0.000179863047895687,1203M
VFG002416,"polymerized tip adhesin of ECP fibers",Escherichia coli O157:H7 str. EDL933,256714,5844,1644,99.21,100,99.21,100,167.56,239702.22,1e-26,23537337,0.0189639232630198,0.000157541497330085,1203M
VFG001444,"putative arylsulfatase",Escherichia coli O18:K1:H7 str. RS218,246985,5079,1428,98.25,100.07,98.18,99.93,183.52,232156.22,1e-26,23537337,0.0180539207683935,0.00014998171375634,1203M
VFG000358,"pesticin/yersiniabactin receptor protein",Yersinia pestis CO92,258172,7187,2022,99.75,100,99.75,100,129.12,237387.74,1e-26,23537337,0.0179734187616423,0.000149312948833293,1203M
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,207031,11230,3147,97.43,100,97.43,100,78.9,175651.82,1e-26,23537337,0.0170934517538485,0.000142002683015078,1203M
VFG000366,"yersiniabactin ABC transporter ATP-binding/permease protein YbtQ",Yersinia pestis CO92,236688,6418,1803,99.56,100,99.56,100,133.27,218110.29,1e-26,23537337,0.0165418526843293,0.000137420311417562,1203M
VFG000932,"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex",Escherichia coli CFT073,230686,5737,1611,98.88,100,98.88,100,147.93,214031.4,1e-26,23537337,0.016406193220865,0.000136293329689955,1203M
VFG000919,"Putative oxygen independent coproporphyrinogen III oxidase",Escherichia coli CFT073,227467,4765,1338,98.88,100,98.88,100,176.43,213561.11,1e-26,23537337,0.0162511677008757,0.000135005465770409,1203M
VFG000365,"yersiniabactin ABC transporter ATP-binding/permease protein YbtP",Yersinia pestis CO92,216298,6427,1803,99.56,99.83,99.72,100.17,120.99,197756.85,1e-26,23537337,0.0149920940826243,0.000124545797677629,1203M
VFG044165,"enterobactin exporter, iron-regulated",Escherichia coli CFT073,181663,4470,1251,97.44,100,97.44,100,157.44,168682.26,1e-26,23537337,0.0135590235543357,0.000112640662138167,1203M
VFG000368,"salicylate synthase Irp9",Yersinia pestis CO92,190297,4660,1305,99.85,100,99.85,100,147,176761.86,1e-26,23537337,0.0132063824730154,0.000109711120439397,1203M
VFG000359,"yersiniabactin siderophore biosynthetic protein",Yersinia pestis CO92,188970,5636,1578,99.75,99.87,99.87,100.13,120.59,172714.75,1e-26,23537337,0.0130830610603463,0.00010868663622612,1203M
VFG048498,"enterobactin synthase subunit F",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,166951,13894,3882,98.61,100,98.61,100,45.01,129537.59,1e-26,23537337,0.0120287519273264,9.99280351096188e-05,1203M
VFG000367,"putative signal transducer",Yersinia pestis CO92,170980,4580,1281,99.69,100,99.69,100,135.3,157715.98,1e-26,23537337,0.0119317171827628,9.91219255963301e-05,1203M
VFG000918,"periplasmic heme-binding protein ChuT",Escherichia coli CFT073,170751,3550,993,99.8,100,99.8,100,173.27,160388.37,1e-26,23537337,0.011844824989505,9.84000746353094e-05,1203M
VFG000931,"isochorismate synthase 1",Escherichia coli CFT073,164708,4249,1188,98.74,100,98.74,100,144.23,152385.88,1e-26,23537337,0.0117958181477344,9.79929536443161e-05,1203M
VFG044159,"enterobactin/ferric enterobactin esterase",Escherichia coli CFT073,165480,4303,1203,99,100,99,100,141.8,153006.24,1e-26,23537337,0.0117435089358685,9.75583984392979e-05,1203M
VFG000926,"ferrienterobactin ABC transporter permease",Escherichia coli CFT073,146674,3642,1017,97.84,100,97.84,100,154.69,136099.26,1e-26,23537337,0.0108302683291971,8.99717144708912e-05,1203M
VFG048704,"type VI secretion system tip protein VgrG",Klebsiella pneumoniae subsp. pneumoniae HS11286,182775,8470,2370,71.86,73.92,97.2,135.27,85.36,158865.11,1e-26,23537337,0.0102948668748731,8.55239034553623e-05,1203M
VFG000929,"phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex",Escherichia coli CFT073,131048,2764,771,84.05,88.2,95.29,113.38,219.3,122983.38,1e-26,23537337,0.0102663867147227,8.52873064700201e-05,1203M
VFG000924,"ferrienterobactin ABC transporter periplasmic binding protein",Escherichia coli CFT073,137861,3429,957,98.43,100,98.43,100,151.74,127904.74,1e-26,23537337,0.00999696201406303,8.30490791701656e-05,1203M
VFG000361,"yersiniabactin biosynthetic protein YbtU",Yersinia pestis CO92,142327,3944,1101,99.73,100,99.73,100,130.79,130918.28,1e-26,23537337,0.00991329164528841,8.23539932959985e-05,1203M
VFG000879,"FimH protein precursor",Escherichia coli CFT073,133199,3269,912,97.48,100,97.48,100,157.88,123703.78,1e-26,23537337,0.00991238086029027,8.23464270118303e-05,1203M
VFG000928,"iron-enterobactin ABC transporter permease",Escherichia coli CFT073,132474,3560,993,97.89,100,97.89,100,141.91,122166.24,1e-26,23537337,0.00970103950055204,8.05907230997677e-05,1203M
VFG044172,"ATP-binding hydrophilic protein ChuV",Escherichia coli CFT073,136115,2870,801,99.75,100,99.75,100,171.46,127739.46,1e-26,23537337,0.00945477852006883,7.85449268232687e-05,1203M
VFG001443,"outer membrane protein A",Escherichia coli O18:K1:H7 str. RS218,118460,3735,1041,97.21,101.15,96.11,98.86,129.04,107709.07,1e-26,23537337,0.0093539920269832,7.77076499153663e-05,1203M
VFG000922,"heme permease protein ChuU",Escherichia coli CFT073,134217,3559,993,99.5,100,99.5,100,136.59,123905.73,1e-26,23537337,0.00933736160510467,7.75694938214169e-05,1203M
VFG000916,"heme oxygenase ChuS",Escherichia coli CFT073,130276,3689,1029,99.03,100,99.03,100,129.29,119613.06,1e-26,23537337,0.00915875274295261,7.6085712897523e-05,1203M
VFG000933,"isochorismatase",Escherichia coli CFT073,125878,3077,858,99.42,100,99.42,100,149.91,116939.4,1e-26,23537337,0.00885470131843782,7.35598264541406e-05,1203M
VFG002412,"E. coli common pilus chaperone EcpB",Escherichia coli O157:H7 str. EDL933,108890,2402,669,98.06,100,98.06,100,181.77,101890.57,1e-26,23537337,0.00837152058320062,6.9545835495911e-05,1203M
VFG000364,"transcriptional regulator YbtA",Yersinia pestis CO92,119882,3444,960,98.54,99.17,99.37,100.84,127.65,109932.39,1e-26,23537337,0.00836620283797475,6.95016586906327e-05,1203M
VFG048693,"type VI secretion system ATPase TssH",Klebsiella pneumoniae subsp. pneumoniae HS11286,108813,9538,2655,98.46,100,98.46,100,44.14,83272.5,1e-26,23537337,0.00806775829678048,6.70223510475027e-05,1203M
VFG043625,"fimbrial biogenesis outer membrane usher protein mrkC precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,113441,8931,2487,99.6,100,99.6,100,46.41,89253.55,1e-26,23537337,0.00794590517733558,6.60100645799064e-05,1203M
VFG000925,"ferrienterobactin ABC transporter ATPase",Escherichia coli CFT073,109516,2930,816,99.14,100,99.14,100,137.96,101031.06,1e-26,23537337,0.00774995835586521,6.43822497431046e-05,1203M
VFG000875,"Chaperone protein fimC precursor",Escherichia coli CFT073,108179,2607,726,98.9,100,98.9,100,154.74,100603.03,1e-26,23537337,0.00773384097236073,6.42483556804087e-05,1203M
VFG048277,"outer membrane usher protein ",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,110589,9504,2646,98.56,99.02,99.54,100.99,42.46,85083.2,1e-26,23537337,0.00765858921939522,6.36232068821103e-05,1203M
VFG002417,"E. coli common pilus chaperone EcpE",Escherichia coli O157:H7 str. EDL933,94338,2717,756,97.88,100,97.88,100,138.6,86489.87,1e-26,23537337,0.00721341718526084,5.99249706124155e-05,1203M
VFG048751,"type VI secretion protein TssM",Klebsiella pneumoniae subsp. pneumoniae HS11286,106880,12312,3426,88.44,90.63,97.58,110.34,33.26,75030.04,1e-26,23537337,0.00710947625256412,5.90614884128825e-05,1203M
VFG000921,"ChuY",Escherichia coli CFT073,96925,2242,624,98.24,100,98.24,100,160.66,90400.24,1e-26,23537337,0.00690157761963952,5.73343847186966e-05,1203M
VFG000360,"type II thioesterase YbtT",Yersinia pestis CO92,96753,2889,804,99.63,100,99.63,100,121.77,88419.43,1e-26,23537337,0.00673988333602433,5.59911205007841e-05,1203M
VFG002414,"E. coli common pilus structural subunit EcpA",Escherichia coli O157:H7 str. EDL933,85245,2114,588,98.47,100,98.47,100,158.33,79105.22,1e-26,23537337,0.00640909283357098,5.32431009936237e-05,1203M
VFG000878,"FimG protein precursor",Escherichia coli CFT073,85802,1812,504,98.21,100,98.21,100,180.44,80514.13,1e-26,23537337,0.00626064933577906,5.20099167739502e-05,1203M
VFG000872,"Type 1 fimbriae Regulatory protein fimE",Escherichia coli CFT073,87297,2146,597,98.83,100,98.83,100,151.88,81062.36,1e-26,23537337,0.00624210319227954,5.18558459534723e-05,1203M
VFG002413,"regulator protein EcpR",Escherichia coli O157:H7 str. EDL933,84628,2125,591,99.49,100,99.49,100,152.19,78459.13,1e-26,23537337,0.00619198110357243,5.1439460124722e-05,1203M
VFG048518,"outer membrane receptor FepA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,83599,8021,2229,98.16,100,98.16,100,40.19,62344.29,1e-26,23537337,0.00616714414124223,5.12331287564518e-05,1203M
VFG000871,"Type 1 fimbriae Regulatory protein fimB",Escherichia coli CFT073,79400,2169,603,97.84,100,97.84,100,143.86,73121.76,1e-26,23537337,0.00597191190392006,4.96112502786573e-05,1203M
VFG000874,"Fimbrin-like protein fimI precursor",Escherichia coli CFT073,81605,1942,540,98.52,100,98.52,100,158.49,75957.64,1e-26,23537337,0.00589184956551222,4.89461378703449e-05,1203M
VFG048830,"6-phosphogluconate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,65160,5068,1407,93.03,100,93.03,100,59.67,51417.34,1e-26,23537337,0.00577971148604747,4.80145584338764e-05,1203M
VFG000877,"FimF protein precursor",Escherichia coli CFT073,72934,1922,534,96.63,100,96.63,100,153.1,67364.69,1e-26,23537337,0.00562823823407807,4.67562047382963e-05,1203M
VFG000873,"Type-1 fimbrial protein, A chain precursor",Escherichia coli CFT073,60938,2183,606,91.09,99.83,91.24,100.17,131.77,54690.2,1e-26,23537337,0.00548790096688474,4.55903624756902e-05,1203M
VFG049133,"acriflavine resistance protein A",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,71489,4299,1194,99.16,100,99.16,100,62.97,59566.89,1e-26,23537337,0.00517599734024022,4.29992443993963e-05,1203M
VFG000920,"putative heme-binding protein ChuX",Escherichia coli CFT073,74060,1781,495,100,100,100,100,149.97,68882.31,1e-26,23537337,0.00511052614925155,4.24553469517382e-05,1203M
VFG001713,"PapX protein regulates flagellum synthesis to repress motility",Escherichia coli CFT073,65679,1988,552,97.64,100,97.64,100,127.82,59948.47,1e-26,23537337,0.00485728867959892,4.03515939679369e-05,1203M
VFG048639,"type VI secretion system contractile sheath large subunit VipB",Klebsiella pneumoniae subsp. pneumoniae HS11286,61257,5567,1545,97.41,100,97.41,100,44.37,46409.96,1e-26,23537337,0.00471926034903062,3.92049330386498e-05,1203M
VFG048429,"enterobactin synthase subunit E",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,65027,5793,1608,99.63,100,99.63,100,41.07,49543.24,1e-26,23537337,0.00454639087805731,3.77688317149906e-05,1203M
VFG048819,"mannose-1-phosphate guanylyltransferase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,56262,5104,1416,98.16,100,98.16,100,42.21,42647.51,1e-26,23537337,0.0041146663973068,3.41823100766058e-05,1203M
VFG048767,"type VI secretion system baseplate subunit TssF",Klebsiella pneumoniae subsp. pneumoniae HS11286,58070,6325,1755,99.6,100,99.6,100,33.61,41577.84,1e-26,23537337,0.0040607070330293,3.37340463431286e-05,1203M
VFG048508,"enterobactin/ferric enterobactin esterase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,55455,4358,1209,99.34,100,99.34,100,46.9,43650.9,1e-26,23537337,0.00390350884678587,3.24281331470625e-05,1203M
VFG048439,"isochorismate synthase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,55302,4282,1188,99.33,100,99.33,100,47.64,43685.91,1e-26,23537337,0.00389622669734497,3.23676371879305e-05,1203M
VFG048459,"enterobactin exporter EntS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,54704,4477,1242,99.28,100,99.28,100,45.43,42626.98,1e-26,23537337,0.00388436790492022,3.22691210797809e-05,1203M
VFG048808,"phosphomannomutase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,51325,4943,1371,97.37,99.78,97.59,100.22,40.21,38231.38,1e-26,23537337,0.00378678852042795,3.14584870074823e-05,1203M
VFG048317,"transcriptional regulator",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,51632,4478,1242,99.6,100,99.6,100,42.24,39626.89,1e-26,23537337,0.00361161567915101,3.00032505923386e-05,1203M
VFG049018,"transcriptional regulator RcsB",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,42085,2348,651,94.78,100,94.78,100,80.04,35535.99,1e-26,23537337,0.00358710502981333,2.97996300469676e-05,1203M
VFG048468,"iron-enterobactin transporter membrane protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,49586,3634,1008,99.9,100,99.9,100,49.59,39674.49,1e-26,23537337,0.00344120594725431,2.85875833830657e-05,1203M
VFG048650,"type VI secretion system baseplate subunit TssK",Klebsiella pneumoniae subsp. pneumoniae HS11286,47816,4847,1344,99.11,100,99.11,100,36.76,35058.4,1e-26,23537337,0.00340118923495512,2.82551472786582e-05,1203M
VFG045632,"Collagen binding MSCRAMM, EcbA",Enterococcus faecium DO,45287,11650,3228,99.57,100,99.57,100,15.11,19871.83,1e-26,23537337,0.00335779373749277,2.78946421472683e-05,1203M
VFG043624,"fimbrial adhesin protein precursor MrkD",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,42044,3593,996,99.8,100,99.8,100,42.66,32395.48,1e-26,23537337,0.00292506966504362,2.42998164691161e-05,1203M
VFG048478,"iron-enterobactin transporter permease",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,41166,3582,993,99.19,100,99.19,100,42.65,31564.97,1e-26,23537337,0.00291557560917867,2.42209452484328e-05,1203M
VFG048409,"2,3-dihydroxybenzoate-2,3-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,38237,2836,786,98.09,100,98.09,100,53.78,30511.34,1e-26,23537337,0.00291004274521038,2.41749813588938e-05,1203M
VFG048307,"type 1 fimbrial adhesin precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,41110,3279,909,99.34,100,99.34,100,46.22,32240.2,1e-26,23537337,0.00289234336327376,2.40279449522684e-05,1203M
VFG048797,"UDP-glucose 6-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,37089,4212,1167,97.77,100,97.77,100,34.87,26171.21,1e-26,23537337,0.00280142388941191,2.32726376326807e-05,1203M
VFG048449,"iron-enterobactin transporter periplasmic binding protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,39659,3464,960,99.58,100,99.58,100,41.96,30379.82,1e-26,23537337,0.00277308216032016,2.30371906539037e-05,1203M
VFG048990,"UTP-glucose-1-phosphate uridylyltransferase subunit GalF",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,36768,3237,897,98.89,100,98.89,100,42.65,28103.84,1e-26,23537337,0.00263370727233964,2.18793432908804e-05,1203M
VFG044326,"yersiniabactin ABC transporter ATP-binding/permease protein YbtP",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,47222,6503,1803,77.76,78.15,99.5,127.96,26.72,30859.56,1e-26,23537337,0.00259189370722073,2.15319799543925e-05,1203M
VFG048488,"iron-enterobactin transporter ATP-binding protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,37246,2869,795,99.87,100,99.87,100,47.18,29459.61,1e-26,23537337,0.00258214775424771,2.14510161156877e-05,1203M
VFG013063,"heme/hemoglobin transport protein ShuS",Shigella dysenteriae Sd197,46971,3711,1029,73.86,74.93,98.57,133.46,48,36924.28,1e-26,23537337,0.00254781780999405,2.11658224484297e-05,1203M
VFG048776,"type VI secretion system baseplate subunit TssG",Klebsiella pneumoniae subsp. pneumoniae HS11286,36471,3919,1086,99.63,100,99.63,100,34.06,26233.35,1e-26,23537337,0.00254642267738194,2.11542324795378e-05,1203M
VFG044322,"siderophore esterase IroE",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,35450,3378,936,99.15,100,99.15,100,38.97,26490.48,1e-26,23537337,0.00251109000221604,2.08607086937097e-05,1203M
VFG048419,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,32746,3075,852,98.71,100,98.71,100,40.31,24575.07,1e-26,23537337,0.00236433176646148,1.96415246733135e-05,1203M
VFG043626,"fimbrial chaperone protein mrkB precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,32895,2534,702,99.57,100,99.57,100,47.76,26017.62,1e-26,23537337,0.00230811505977363,1.91745082219318e-05,1203M
VFG048327,"transcriptional activator",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,32026,2566,711,99.72,100,99.72,100,45.5,25087.46,1e-26,23537337,0.00222708617402083,1.85013662875633e-05,1203M
VFG048257,"type 1 pilus biosynthesis fimbrial protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,29695,2296,636,99.06,100,99.06,100,48.23,23465.26,1e-26,23537337,0.00211169116044709,1.75427300934229e-05,1203M
VFG048267,"periplasmic chaperone",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,29654,2621,726,99.72,100,99.72,100,41.29,22641.49,1e-26,23537337,0.00206365706183776,1.71436900998066e-05,1203M
VFG043623,"type 3 fimbrial minor pilin subunit MrkF",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,29133,2296,636,99.69,100,99.69,100,46.3,22914.84,1e-26,23537337,0.00202718848701431,1.6840729905152e-05,1203M
VFG013069,"permease of iron compound ABC transport system",Shigella dysenteriae Sd197,32880,3454,957,85.79,86.31,99.39,115.86,35.61,23829.37,1e-26,23537337,0.00202488821358619,1.68216205407495e-05,1203M
VFG048348,"phosphodiesterase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,28670,2589,717,99.86,100,99.86,100,40.22,21760.6,1e-26,23537337,0.00198525933274625,1.64924063197019e-05,1203M
VFG048980,"surface assembly of capsule",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,29143,5471,1515,72.87,79.54,91.62,125.73,23.39,16188,1e-26,23537337,0.00194036961711202,1.61194880728996e-05,1203M
VFG048661,"type VI secretion system protein, DotU/TssL family",Klebsiella pneumoniae subsp. pneumoniae HS11286,27188,2491,690,99.42,100,99.42,100,40.39,20549.41,1e-26,23537337,0.00191857582703216,1.59384376502599e-05,1203M
VFG043519,"collagen adhesin protein Scm",Enterococcus faecium DO,27797,7163,1983,97.93,97.93,100,102.11,14.07,12178.21,1e-26,23537337,0.00188099911208006,1.5626271657169e-05,1203M
VFG048237,"tyrosine recombinase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,26441,2199,609,99.18,100,99.18,100,44.48,20518.52,1e-26,23537337,0.00186482505523723,1.54919067845853e-05,1203M
VFG043627,"type 3 fimbrial major pilin subunit MrkA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,26064,2199,609,99.34,100,99.34,100,43.8,20150.39,1e-26,23537337,0.001836316039105,1.52550700801447e-05,1203M
VFG048229,"tyrosine recombinase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,26035,2188,606,99.5,100,99.5,100,43.71,20148.12,1e-26,23537337,0.00182351548260055,1.51487303312225e-05,1203M
VFG048985,"phosphatase PAP2 family protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,21925,2275,630,94.6,100,94.6,100,41.89,15953.39,1e-26,23537337,0.00181679921771631,1.50929354193968e-05,1203M
VFG043518,"collagen adhesin precursor Acm",Enterococcus faecium str. TX2555,26003,7825,2166,100,100,100,100,12.03,9767.4,1e-26,23537337,0.00179382513082448,1.49020797616022e-05,1203M
VFG048247,"type 1 major fimbrial subunit precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,24368,1982,549,99.64,100,99.64,100,44.85,19016.1,1e-26,23537337,0.00169508240623032,1.40817813208597e-05,1203M
VFG048287,"type 1 fimbrial minor component",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,23390,1918,531,99.25,100,99.25,100,45.47,18217.36,1e-26,23537337,0.00166217022997104,1.38083656643858e-05,1203M
VFG048338,"LuxR family regulatory protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,22754,2113,585,99.32,100,99.32,100,39.86,17132.71,1e-26,23537337,0.00160527404876076,1.33357045248151e-05,1203M
VFG048683,"type VI secretion system protein, Hcp family",Klebsiella pneumoniae subsp. pneumoniae HS11286,20459,1777,492,99.39,100,99.39,100,42.5,15694.85,1e-26,23537337,0.00143949465692263,1.19585035493408e-05,1203M
VFG048297,"type 1 fimbrial minor component",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,19879,1810,501,99.6,100,99.6,100,40.25,15052.98,1e-26,23537337,0.00138822427692535,1.15325783691222e-05,1203M
VFG049007,"transcriptional activator for ctr capsule biosynthesis",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,18600,2254,624,100,100,100,100,29.85,12810.85,1e-26,23537337,0.00128228614431868,1.06525045677399e-05,1203M
VFG048528,"enterochelin synthetase component D",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,22732,2275,630,75.08,76.35,98.34,130.98,36.98,16733.05,1e-26,23537337,0.00122453871990505,1.01727717833945e-05,1203M
VFG048784,"type VI secretion system lipoprotein TssJ",Klebsiella pneumoniae subsp. pneumoniae HS11286,17125,1962,543,99.26,100,99.26,100,32.42,12045.2,1e-26,23537337,0.00121190580153732,1.0067824676844e-05,1203M
VFG048628,"type VI secretion system contractile sheath small subunit VipA",Klebsiella pneumoniae subsp. pneumoniae HS11286,15411,1778,492,98.78,100,98.78,100,32.9,10812.39,1e-26,23537337,0.00111433821677069,9.25728862996028e-06,1203M
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,11545,6085,1683,93.23,100.06,93.17,99.94,9.52,1690.31,1e-26,23537337,0.0011036658058626,9.168628305234e-06,1203M
VFG001360,"neuraminidase B",Streptococcus pneumoniae TIGR4,11133,7573,2094,96.8,100,96.8,100,5.89,677.46,1e-26,23537337,0.000849078798197052,7.05366412655966e-06,1203M
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,7798,3363,930,90.97,100.43,90.58,99.57,11.66,1762.11,1e-26,23537337,0.000749723261933467,6.22827479472652e-06,1203M
VFG044330,"yersiniabactin biosynthesis oxidoreductase YbtU",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,13163,4197,1161,75.37,76.57,98.43,130.6,11.58,4630.34,1e-26,23537337,0.000708688606340775,5.88738219593061e-06,1203M
VFG044331,"type II thioesterase YbtT",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,12059,2906,804,71.77,72.01,99.65,138.86,15.45,5597.25,1e-26,23537337,0.000615791043357878,5.11564203606714e-06,1203M
VFG001356,"endo-beta-N-acetylglucosaminidase",Streptococcus pneumoniae TIGR4,6777,7151,1977,78.76,84.47,93.23,118.38,4.15,10.09,0.0015,23537337,0.000477104249312906,3.9635109664187e-06,1203M
VFG013070,"ATP-binding component of hemin transport system",Shigella dysenteriae Sd197,3224,2788,771,86.9,87.68,99.11,114.05,4.33,31.47,2.1e-08,23537337,0.000201511037921423,1.67403918495003e-06,1203M
VFG043511,"cell wall anchored protein SgrA",Enterococcus faecium DO,2387,3527,975,82.15,82.15,100,121.72,2.45,219.86,1e-26,23537337,0.000135093449828131,1.12227960798136e-06,1203M
VFG001363,"pneumolysin",Streptococcus pneumoniae TIGR4,1641,5123,1416,80.23,82.7,97.01,120.92,1.28,1792.92,1e-26,23537337,0.00010318932152412,8.57238241049321e-07,1203M
VFG048498,"enterobactin synthase subunit F",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,119372,2182,3882,98.61,100,98.61,100,32.12,112980.65,1e-26,19692855,0.0521297710443057,8.65867307981752e-05,1203N
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,103662,1781,3147,99.62,100,99.62,100,34.74,98437.93,1e-26,19692855,0.0457068515799779,7.59183624655491e-05,1203N
VFG048704,"type VI secretion system tip protein VgrG",Klebsiella pneumoniae subsp. pneumoniae HS11286,126512,1327,2370,72.15,73.97,97.55,135.2,56.89,122583.68,1e-26,19692855,0.0416960244134217,6.92564415479713e-05,1203N
VFG043625,"fimbrial biogenesis outer membrane usher protein mrkC precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,81316,1421,2487,99.6,100,99.6,100,33.3,77149.08,1e-26,19692855,0.0346238030424401,5.75095929482751e-05,1203N
