accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
SRR14092191	SRP199846	new	PRJNA545312	SAMN07560397	1252LL_shotgun	1252LL	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252LL_R1_nohumanreads.fastq.gz	1252LL_R2_nohumanreads.fastq.gz
SRR14092190	SRP199846	new	PRJNA545312	SAMN07560399	1252MM_shotgun	1252MM	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252MM_R1_nohumanreads.fastq.gz	1252MM_R2_nohumanreads.fastq.gz
SRR14092189	SRP199846	new	PRJNA545312	SAMN07560402	1252OO_shotgun	1252OO	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252OO_R1_nohumanreads.fastq.gz	1252OO_R2_nohumanreads.fastq.gz
SRR14092188	SRP199846	new	PRJNA545312	SAMN07560409	1252TT_shotgun	1252TT	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252TT_R1_nohumanreads.fastq.gz	1252TT_R2_nohumanreads.fastq.gz
SRR14092187	SRP199846	new	PRJNA545312	SAMN07560411	1252UU_shotgun	1252UU	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252UU_R1_nohumanreads.fastq.gz	1252UU_R2_nohumanreads.fastq.gz
SRR14092186	SRP199846	new	PRJNA545312	SAMN07560413	1252VV_shotgun	1252VV	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252VV_R1_nohumanreads.fastq.gz	1252VV_R2_nohumanreads.fastq.gz
SRR14092185	SRP199846	new	PRJNA545312	SAMN13273819	1252W_shotgun	1252W	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252W_R1_nohumanreads.fastq.gz	1252W_R2_nohumanreads.fastq.gz
SRR14092345	SRP199846	new	PRJNA545312	SAMN07560414	1252WW_shotgun	1252WW	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252WW_R1_nohumanreads.fastq.gz	1252WW_R2_nohumanreads.fastq.gz
SRR14092344	SRP199846	new	PRJNA545312	SAMN07560415	1252XX_shotgun	1252XX	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252XX_R1_nohumanreads.fastq.gz	1252XX_R2_nohumanreads.fastq.gz
SRR14092343	SRP199846	new	PRJNA545312	SAMN07560417	1252ZZ_shotgun	1252ZZ	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1252ZZ_R1_nohumanreads.fastq.gz	1252ZZ_R2_nohumanreads.fastq.gz
SRR14092342	SRP199846	new	PRJNA545312	SAMN07560486	1362B_shotgun	1362B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1362B_R1_nohumanreads.fastq.gz	1362B_R2_nohumanreads.fastq.gz
SRR14092341	SRP199846	new	PRJNA545312	SAMN13273039	1362K_shotgun	1362K	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1362K_R1_nohumanreads.fastq.gz	1362K_R2_nohumanreads.fastq.gz
SRR14092340	SRP199846	new	PRJNA545312	SAMN13271619	1403A_shotgun	1403A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1403A_R1_nohumanreads.fastq.gz	1403A_R2_nohumanreads.fastq.gz
SRR14092339	SRP199846	new	PRJNA545312	SAMN13271620	1403B_shotgun	1403B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1403B_R1_nohumanreads.fastq.gz	1403B_R2_nohumanreads.fastq.gz
SRR14092338	SRP199846	new	PRJNA545312	SAMN13271626	1403H_shotgun	1403H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1403H_R1_nohumanreads.fastq.gz	1403H_R2_nohumanreads.fastq.gz
SRR14092337	SRP199846	new	PRJNA545312	SAMN13272916	1414H_shotgun	1414H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	1414H_R1_nohumanreads.fastq.gz	1414H_R2_nohumanreads.fastq.gz
SRR14092336	SRP199846	new	PRJNA545312	SAMN14140878	2065E_shotgun	2065E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2065E_R1_nohumanreads.fastq.gz	2065E_R2_nohumanreads.fastq.gz
SRR14092334	SRP199846	new	PRJNA545312	SAMN14140879	2065F_shotgun	2065F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2065F_R1_nohumanreads.fastq.gz	2065F_R2_nohumanreads.fastq.gz
SRR14092333	SRP199846	new	PRJNA545312	SAMN14140923	2105A_shotgun	2105A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2105A_R1_nohumanreads.fastq.gz	2105A_R2_nohumanreads.fastq.gz
SRR14092332	SRP199846	new	PRJNA545312	SAMN14140924	2105B_shotgun	2105B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2105B_R1_nohumanreads.fastq.gz	2105B_R2_nohumanreads.fastq.gz
SRR14092331	SRP199846	new	PRJNA545312	SAMN14140925	2105C_shotgun	2105C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2105C_R1_nohumanreads.fastq.gz	2105C_R2_nohumanreads.fastq.gz
SRR14092330	SRP199846	new	PRJNA545312	SAMN14140926	2105D_shotgun	2105D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2105D_R1_nohumanreads.fastq.gz	2105D_R2_nohumanreads.fastq.gz
SRR14092329	SRP199846	new	PRJNA545312	SAMN14140927	2105E_shotgun	2105E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2105E_R1_nohumanreads.fastq.gz	2105E_R2_nohumanreads.fastq.gz
SRR14092328	SRP199846	new	PRJNA545312	SAMN14140928	2105F_shotgun	2105F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2105F_R1_nohumanreads.fastq.gz	2105F_R2_nohumanreads.fastq.gz
SRR14092327	SRP199846	new	PRJNA545312	SAMN14140990	2142A_shotgun	2142A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2142A_R1_nohumanreads.fastq.gz	2142A_R2_nohumanreads.fastq.gz
SRR14092326	SRP199846	new	PRJNA545312	SAMN14140991	2142C_shotgun	2142C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2142C_R1_nohumanreads.fastq.gz	2142C_R2_nohumanreads.fastq.gz
SRR14092325	SRP199846	new	PRJNA545312	SAMN14140993	2142K_shotgun	2142K	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2142K_R1_nohumanreads.fastq.gz	2142K_R2_nohumanreads.fastq.gz
SRR14092323	SRP199846	new	PRJNA545312	SAMN14140994	2142L_shotgun	2142L	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2142L_R1_nohumanreads.fastq.gz	2142L_R2_nohumanreads.fastq.gz
SRR14092322	SRP199846	new	PRJNA545312	SAMN14140995	2142M_shotgun	2142M	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	2142M_R1_nohumanreads.fastq.gz	2142M_R2_nohumanreads.fastq.gz
SRR14092321	SRP199846	new	PRJNA545312	SAMN07491460	668T_shotgun	668T	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	668T_R1_nohumanreads.fastq.gz	668T_R2_nohumanreads.fastq.gz
SRR14092320	SRP199846	new	PRJNA545312	SAMN07491465	668Y_shotgun	668Y	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	668Y_R1_nohumanreads.fastq.gz	668Y_R2_nohumanreads.fastq.gz
SRR14092319	SRP199846	new	PRJNA545312	SAMN07491466	668Z_shotgun	668Z	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	668Z_R1_nohumanreads.fastq.gz	668Z_R2_nohumanreads.fastq.gz
SRR14092318	SRP199846	new	PRJNA545312	SAMN07491467	FMT.0009A_shotgun	FMT.0009A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0009A_R1_nohumanreads.fastq.gz	FMT.0009A_R2_nohumanreads.fastq.gz
SRR14092317	SRP199846	new	PRJNA545312	SAMN07491490	FMT.0009X_shotgun	FMT.0009X	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0009X_R1_nohumanreads.fastq.gz	FMT.0009X_R2_nohumanreads.fastq.gz
SRR14092316	SRP199846	new	PRJNA545312	SAMN10085964	FMT.0010A_shotgun	FMT.0010A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0010A_R1_nohumanreads.fastq.gz	FMT.0010A_R2_nohumanreads.fastq.gz
SRR14092315	SRP199846	new	PRJNA545312	SAMN10085989	FMT.0015H_shotgun	FMT.0015H	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0015H_R1_nohumanreads.fastq.gz	FMT.0015H_R2_nohumanreads.fastq.gz
SRR14092314	SRP199846	new	PRJNA545312	SAMN10085991	FMT.0020A_shotgun	FMT.0020A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0020A_R1_nohumanreads.fastq.gz	FMT.0020A_R2_nohumanreads.fastq.gz
SRR14092184	SRP199846	new	PRJNA545312	SAMN10086026	FMT.0034J_shotgun	FMT.0034J	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0034J_R1_nohumanreads.fastq.gz	FMT.0034J_R2_nohumanreads.fastq.gz
SRR14092183	SRP199846	new	PRJNA545312	SAMN10086050	FMT.0039A_shotgun	FMT.0039A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0039A_R1_nohumanreads.fastq.gz	FMT.0039A_R2_nohumanreads.fastq.gz
SRR14092182	SRP199846	new	PRJNA545312	SAMN10086054	FMT.0039E_shotgun	FMT.0039E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0039E_R1_nohumanreads.fastq.gz	FMT.0039E_R2_nohumanreads.fastq.gz
SRR14092181	SRP199846	new	PRJNA545312	SAMN07560621	FMT.0061A_shotgun	FMT.0061A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0061A_R1_nohumanreads.fastq.gz	FMT.0061A_R2_nohumanreads.fastq.gz
SRR14092180	SRP199846	new	PRJNA545312	SAMN14141204	FMT.0061Z_shotgun	FMT.0061Z	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0061Z_R1_nohumanreads.fastq.gz	FMT.0061Z_R2_nohumanreads.fastq.gz
SRR14092179	SRP199846	new	PRJNA545312	SAMN07560665	FMT.0063A_shotgun	FMT.0063A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0063A_R1_nohumanreads.fastq.gz	FMT.0063A_R2_nohumanreads.fastq.gz
SRR14092178	SRP199846	new	PRJNA545312	SAMN07560713	FMT.0064B_shotgun	FMT.0064B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0064B_R1_nohumanreads.fastq.gz	FMT.0064B_R2_nohumanreads.fastq.gz
SRR14092177	SRP199846	new	PRJNA545312	SAMN07560715	FMT.0064C_shotgun	FMT.0064C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0064C_R1_nohumanreads.fastq.gz	FMT.0064C_R2_nohumanreads.fastq.gz
SRR14092176	SRP199846	new	PRJNA545312	SAMN07560717	FMT.0064D_shotgun	FMT.0064D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0064D_R1_nohumanreads.fastq.gz	FMT.0064D_R2_nohumanreads.fastq.gz
SRR14092175	SRP199846	new	PRJNA545312	SAMN07560721	FMT.0064F_shotgun	FMT.0064F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0064F_R1_nohumanreads.fastq.gz	FMT.0064F_R2_nohumanreads.fastq.gz
SRR14092173	SRP199846	new	PRJNA545312	SAMN12019209	FMT.0066D_shotgun	FMT.0066D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0066D_R1_nohumanreads.fastq.gz	FMT.0066D_R2_nohumanreads.fastq.gz
SRR14092172	SRP199846	new	PRJNA545312	SAMN12019210	FMT.0066E_shotgun	FMT.0066E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0066E_R1_nohumanreads.fastq.gz	FMT.0066E_R2_nohumanreads.fastq.gz
SRR14092171	SRP199846	new	PRJNA545312	SAMN12019214	FMT.0066I_shotgun	FMT.0066I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0066I_R1_nohumanreads.fastq.gz	FMT.0066I_R2_nohumanreads.fastq.gz
SRR14092170	SRP199846	new	PRJNA545312	SAMN12019220	FMT.0066O_shotgun	FMT.0066O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0066O_R1_nohumanreads.fastq.gz	FMT.0066O_R2_nohumanreads.fastq.gz
SRR14092169	SRP199846	new	PRJNA545312	SAMN12019226	FMT.0066U_shotgun	FMT.0066U	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0066U_R1_nohumanreads.fastq.gz	FMT.0066U_R2_nohumanreads.fastq.gz
SRR14092168	SRP199846	new	PRJNA545312	SAMN07560772	FMT.0069C_shotgun	FMT.0069C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0069C_R1_nohumanreads.fastq.gz	FMT.0069C_R2_nohumanreads.fastq.gz
SRR14092167	SRP199846	new	PRJNA545312	SAMN07560775	FMT.0069F_shotgun	FMT.0069F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0069F_R1_nohumanreads.fastq.gz	FMT.0069F_R2_nohumanreads.fastq.gz
SRR14092166	SRP199846	new	PRJNA545312	SAMN07560776	FMT.0069G_shotgun	FMT.0069G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0069G_R1_nohumanreads.fastq.gz	FMT.0069G_R2_nohumanreads.fastq.gz
SRR14092165	SRP199846	new	PRJNA545312	SAMN07560778	FMT.0069I_shotgun	FMT.0069I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0069I_R1_nohumanreads.fastq.gz	FMT.0069I_R2_nohumanreads.fastq.gz
SRR14092164	SRP199846	new	PRJNA545312	SAMN07560784	FMT.0069O_shotgun	FMT.0069O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0069O_R1_nohumanreads.fastq.gz	FMT.0069O_R2_nohumanreads.fastq.gz
SRR14092162	SRP199846	new	PRJNA545312	SAMN07560786	FMT.0069Q_shotgun	FMT.0069Q	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0069Q_R1_nohumanreads.fastq.gz	FMT.0069Q_R2_nohumanreads.fastq.gz
SRR14092161	SRP199846	new	PRJNA545312	SAMN07561789	FMT.0091A_shotgun	FMT.0091A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0091A_R1_nohumanreads.fastq.gz	FMT.0091A_R2_nohumanreads.fastq.gz
SRR14092160	SRP199846	new	PRJNA545312	SAMN10086167	FMT.0092A_shotgun	FMT.0092A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092A_R1_nohumanreads.fastq.gz	FMT.0092A_R2_nohumanreads.fastq.gz
SRR14092159	SRP199846	new	PRJNA545312	SAMN12018504	FMT.0092D_shotgun	FMT.0092D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092D_R1_nohumanreads.fastq.gz	FMT.0092D_R2_nohumanreads.fastq.gz
SRR14092158	SRP199846	new	PRJNA545312	SAMN14141237	FMT.0092HH_shotgun	FMT.0092HH	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092HH_R1_nohumanreads.fastq.gz	FMT.0092HH_R2_nohumanreads.fastq.gz
SRR14092157	SRP199846	new	PRJNA545312	SAMN14141241	FMT.0092LL_shotgun	FMT.0092LL	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092LL_R1_nohumanreads.fastq.gz	FMT.0092LL_R2_nohumanreads.fastq.gz
SRR14092156	SRP199846	new	PRJNA545312	SAMN12018512	FMT.0092M_shotgun	FMT.0092M	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092M_R1_nohumanreads.fastq.gz	FMT.0092M_R2_nohumanreads.fastq.gz
SRR14092155	SRP199846	new	PRJNA545312	SAMN14141242	FMT.0092MM_shotgun	FMT.0092MM	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092MM_R1_nohumanreads.fastq.gz	FMT.0092MM_R2_nohumanreads.fastq.gz
SRR14092154	SRP199846	new	PRJNA545312	SAMN12018513	FMT.0092N_shotgun	FMT.0092N	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092N_R1_nohumanreads.fastq.gz	FMT.0092N_R2_nohumanreads.fastq.gz
SRR14092153	SRP199846	new	PRJNA545312	SAMN14141244	FMT.0092OO_shotgun	FMT.0092OO	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092OO_R1_nohumanreads.fastq.gz	FMT.0092OO_R2_nohumanreads.fastq.gz
SRR14092311	SRP199846	new	PRJNA545312	SAMN12018515	FMT.0092P_shotgun	FMT.0092P	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092P_R1_nohumanreads.fastq.gz	FMT.0092P_R2_nohumanreads.fastq.gz
SRR14092310	SRP199846	new	PRJNA545312	SAMN12018516	FMT.0092Q_shotgun	FMT.0092Q	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092Q_R1_nohumanreads.fastq.gz	FMT.0092Q_R2_nohumanreads.fastq.gz
SRR14092309	SRP199846	new	PRJNA545312	SAMN13273998	FMT.0092V_shotgun	FMT.0092V	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092V_R1_nohumanreads.fastq.gz	FMT.0092V_R2_nohumanreads.fastq.gz
SRR14092308	SRP199846	new	PRJNA545312	SAMN13273999	FMT.0092W_shotgun	FMT.0092W	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092W_R1_nohumanreads.fastq.gz	FMT.0092W_R2_nohumanreads.fastq.gz
SRR14092307	SRP199846	new	PRJNA545312	SAMN13274001	FMT.0092Y_shotgun	FMT.0092Y	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0092Y_R1_nohumanreads.fastq.gz	FMT.0092Y_R2_nohumanreads.fastq.gz
SRR14092306	SRP199846	new	PRJNA545312	SAMN07561827	FMT.0094A_shotgun	FMT.0094A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0094A_R1_nohumanreads.fastq.gz	FMT.0094A_R2_nohumanreads.fastq.gz
SRR14092305	SRP199846	new	PRJNA545312	SAMN07561830	FMT.0094D_shotgun	FMT.0094D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0094D_R1_nohumanreads.fastq.gz	FMT.0094D_R2_nohumanreads.fastq.gz
SRR14092304	SRP199846	new	PRJNA545312	SAMN07561843	FMT.0094R_shotgun	FMT.0094R	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0094R_R1_nohumanreads.fastq.gz	FMT.0094R_R2_nohumanreads.fastq.gz
SRR14092303	SRP199846	new	PRJNA545312	SAMN14141246	FMT.0094U_shotgun	FMT.0094U	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0094U_R1_nohumanreads.fastq.gz	FMT.0094U_R2_nohumanreads.fastq.gz
SRR14092302	SRP199846	new	PRJNA545312	SAMN07561851	FMT.0097D_shotgun	FMT.0097D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0097D_R1_nohumanreads.fastq.gz	FMT.0097D_R2_nohumanreads.fastq.gz
SRR14092300	SRP199846	new	PRJNA545312	SAMN07561852	FMT.0097E_shotgun	FMT.0097E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0097E_R1_nohumanreads.fastq.gz	FMT.0097E_R2_nohumanreads.fastq.gz
SRR14092299	SRP199846	new	PRJNA545312	SAMN07561856	FMT.0097K_shotgun	FMT.0097K	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0097K_R1_nohumanreads.fastq.gz	FMT.0097K_R2_nohumanreads.fastq.gz
SRR14092298	SRP199846	new	PRJNA545312	SAMN10086202	FMT.0099A_shotgun	FMT.0099A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0099A_R1_nohumanreads.fastq.gz	FMT.0099A_R2_nohumanreads.fastq.gz
SRR14092297	SRP199846	new	PRJNA545312	SAMN07561876	FMT.0099O_shotgun	FMT.0099O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0099O_R1_nohumanreads.fastq.gz	FMT.0099O_R2_nohumanreads.fastq.gz
SRR14092296	SRP199846	new	PRJNA545312	SAMN10086217	FMT.0103A_shotgun	FMT.0103A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0103A_R1_nohumanreads.fastq.gz	FMT.0103A_R2_nohumanreads.fastq.gz
SRR14092295	SRP199846	new	PRJNA545312	SAMN07561910	FMT.0103Y_shotgun	FMT.0103Y	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0103Y_R1_nohumanreads.fastq.gz	FMT.0103Y_R2_nohumanreads.fastq.gz
SRR14092294	SRP199846	new	PRJNA545312	SAMN07561941	FMT.0106A_shotgun	FMT.0106A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0106A_R1_nohumanreads.fastq.gz	FMT.0106A_R2_nohumanreads.fastq.gz
SRR14092293	SRP199846	new	PRJNA545312	SAMN14141272	FMT.0106S_shotgun	FMT.0106S	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0106S_R1_nohumanreads.fastq.gz	FMT.0106S_R2_nohumanreads.fastq.gz
SRR14092292	SRP199846	new	PRJNA545312	SAMN07561961	FMT.0107A_shotgun	FMT.0107A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0107A_R1_nohumanreads.fastq.gz	FMT.0107A_R2_nohumanreads.fastq.gz
SRR14092291	SRP199846	new	PRJNA545312	SAMN07562008	FMT.0111C_shotgun	FMT.0111C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0111C_R1_nohumanreads.fastq.gz	FMT.0111C_R2_nohumanreads.fastq.gz
SRR14092289	SRP199846	new	PRJNA545312	SAMN07562010	FMT.0111E_shotgun	FMT.0111E	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0111E_R1_nohumanreads.fastq.gz	FMT.0111E_R2_nohumanreads.fastq.gz
